Bin Feature_name Count_D1 Count_D3
bin_1 GEDJHMHK_01787 0.121941893294 0.0
bin_1 GEDJHMHK_02367 0.0781926496478 0.0
bin_1 GEDJHMHK_01443 0.037579011457 0.0
bin_2 NKKGILPB_00849 0.0555714510488 0.611052028652
bin_2 NKKGILPB_01324 0.0471903580472 0.0164903163108
bin_2 NKKGILPB_01728 0.0117636883925 0.0197315164132
bin_6 AJLHJOPO_00051 2.47624294702 2.57430818486
bin_6 AJLHJOPO_00052 1.09739582627 2.28885590393
bin_6 AJLHJOPO_00053 0.074432064738 0.291308933228
bin_7 IBEININK_01452 0.076707601234 0.0169294075735
bin_7 IBEININK_01505 0.0351396013785 0.0
bin_7 IBEININK_01108 0.0301751613803 0.0196830360289
bin_12 NAKHGHBN_01166 0.443139354497 0.218267186715
bin_12 NAKHGHBN_01167 0.0865156564198 0.0230864428351
bin_12 NAKHGHBN_01150 0.0592012083961 0.0248249013442
bin_16 KMAGMKGC_00888 0.0834975085202 0.0
bin_16 KMAGMKGC_01383 0.0319468728251 0.0
bin_16 KMAGMKGC_01530 0.023426400919 0.0
bin_19 HOJAHHDM_00612 0.30719394807 0.00813574373436
bin_19 HOJAHHDM_01055 0.0509174572213 0.0
bin_19 HOJAHHDM_01086 0.0345465279375 0.0
bin_24 OADFBJFJ_02432 0.560455725557 0.0510905335699
bin_24 OADFBJFJ_02436 0.307801771473 0.012907082165
bin_24 OADFBJFJ_02406 0.174873653499 0.00721278120987
bin_26 FFEFCCMG_00326 0.69861674798 1.41273881152
bin_26 FFEFCCMG_00530 0.309441855262 0.697718156589
bin_26 FFEFCCMG_00720 0.06270173934 0.00138383065534
